# Arp Atlas of Peculiar Galaxies (Arp 1966)
# Source: VizieR catalog VII/192 (Webb 1996) — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/192
# Coordinates are J2000. size is the object diameter in arcminutes.
# canonical_id links to NGC/IC/Messier only for single-galaxy entries.
ra,dec,catalog,catalog_id,canonical_id,size
175.762500,26.276667,Arp,115,Arp_115,2.60
190.916667,11.553333,Arp,116,Arp_116,10.40
212.495833,17.696667,Arp,117,Arp_117,5.20
43.795833,0.176667,Arp,118,Arp_118,2.10
19.850000,12.446667,Arp,119,Arp_119,2.60
186.941667,13.008333,Arp,120,Arp_120,10.40
14.845833,-4.803333,Arp,121,Arp_121,2.60
241.112500,17.750000,Arp,122,Arp_122,2.60
80.633333,-11.495000,Arp,123,Arp_123,3.50
259.670833,60.606667,Arp,124,NGC_6361,3.50
249.558333,41.930000,Arp,125,Arp_125,2.10
29.520833,3.100000,Arp,126,Arp_126,2.60
9.745833,-9.001667,Arp,127,Arp_127,2.60
19.354167,14.696667,Arp,128,Arp_128,2.10
144.854167,32.361667,Arp,129,Arp_129,2.10
0.658333,16.643333,Arp,130,Arp_130,2.60
41.825000,-14.801667,Arp,131,Arp_131,2.60
169.837500,-3.090000,Arp,132,Arp_132,2.10
21.433333,-1.380000,Arp,133,NGC_541,2.60
187.441667,7.996667,Arp,134,Messier_49,10.40
40.100000,39.063333,Arp,135,NGC_1023,10.40
224.666667,53.886667,Arp,136,NGC_5820,3.50
143.512500,10.108333,Arp,137,NGC_2914,2.10
179.679167,25.036667,Arp,138,Arp_138,2.10
196.850000,26.718333,Arp,139,Arp_139,2.10
12.770833,-7.063333,Arp,140,Arp_140,2.60
108.587500,73.480000,Arp,141,Arp_141,2.60
144.433333,2.760000,Arp,142,Arp_142,3.50
116.720833,39.031667,Arp,143,Arp_143,3.50
1.612500,-13.416667,Arp,144,Arp_144,2.60
35.783333,41.370000,Arp,145,Arp_145,2.60
1.683333,-6.636667,Arp,146,Arp_146,2.10
47.829167,1.313333,Arp,147,IC_29,2.10
166.000000,40.846667,Arp,148,Arp_148,2.10
189.929167,16.591667,Arp,149,Arp_149,2.10
349.875000,9.508333,Arp,150,Arp_150,2.10
171.400000,54.381667,Arp,151,Arp_151,2.10
187.704167,12.391667,Arp,152,Messier_87,2.60
201.366667,-43.018333,Arp,153,NGC_5128,21.80
50.670833,-37.210000,Arp,154,NGC_1316,5.20
170.908333,53.841667,Arp,155,Arp_155,2.60
160.658333,77.495000,Arp,156,Arp_156,2.60
21.145833,3.793333,Arp,157,NGC_520,10.40
21.333333,34.025000,Arp,158,NGC_523,3.50
192.941667,25.775000,Arp,159,NGC_4747,10.40
183.541667,54.528333,Arp,160,NGC_4194,3.50
175.554167,0.333333,Arp,161,Arp_161,2.60
162.816667,27.975000,Arp,162,NGC_3414,3.50
191.320833,27.125000,Arp,163,NGC_4670,2.10
18.987500,5.178333,Arp,164,NGC_455,3.50
114.158333,17.885000,Arp,165,NGC_2418,3.50
29.383333,33.210000,Arp,166,Arp_166,3.50
132.341667,19.075000,Arp,167,Arp_167,2.60
10.675000,40.865000,Arp,168,Messier_32,16.20
333.687500,13.846667,Arp,169,Arp_169,3.50
349.300000,18.700000,Arp,170,Arp_170,3.50
220.179167,3.453333,Arp,171,Arp_171,2.60
241.387500,17.601667,Arp,172,Arp_172,3.50
222.858333,9.328333,Arp,173,Arp_173,3.50
149.666667,28.876667,Arp,174,NGC_3068,5.20
188.216667,11.403333,Arp,175,Arp_175,10.40
195.979167,-11.506667,Arp,176,Arp_176,3.50
223.954167,24.598333,Arp,177,Arp_177,2.10
