# Principal Galaxy Catalogue — RC3 subset (de Vaucouleurs et al. 1991)
# Source: VizieR catalog VII/155 — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/155
# Coordinates are ICRS (J2000). size is D25 (major axis at 25 mag/arcsec²) in arcminutes,
# converted from logD25 (log10 of D25 in 0.1 arcmin): size = 10^D25 * 0.1.
# magnitude is total B magnitude (BT).
ra,dec,catalog,catalog_id,size,magnitude
1.564167,-52.777500,PGC,468,1.74,
1.581250,20.202500,PGC,473,0.32,
1.585417,-41.493333,PGC,474,3.16,13.70
1.590000,17.428611,PGC,477,0.66,
1.600000,-41.500000,PGC,482,0.60,14.58
1.612500,-13.415000,PGC,483,0.87,14.40
1.618750,-3.716111,PGC,485,1.91,
1.621250,-13.420556,PGC,488,0.66,14.60
1.625000,17.266667,PGC,496,1.29,
1.625000,47.866667,PGC,499,1.51,
1.650000,8.350000,PGC,504,1.15,
1.650000,26.150000,PGC,507,0.93,
1.683333,-6.635278,PGC,509,0.71,
1.686667,-6.637222,PGC,510,0.71,
1.675000,5.100000,PGC,511,0.91,
1.700000,8.616667,PGC,515,1.82,
1.710000,19.321111,PGC,517,0.89,
1.711250,-52.201667,PGC,520,1.10,
1.720000,-50.415000,PGC,526,1.41,
1.700000,41.733333,PGC,527,1.10,
1.746667,-6.953889,PGC,538,1.17,
1.750000,46.650000,PGC,540,1.10,
1.765417,-44.368056,PGC,546,1.26,
1.750000,14.066667,PGC,548,0.91,
1.776250,-41.356667,PGC,551,1.00,
1.781667,-80.308333,PGC,553,1.48,
1.792083,-21.786667,PGC,558,1.86,
1.810417,-52.620000,PGC,562,1.95,
1.816667,27.708889,PGC,564,1.62,13.65
1.820000,8.301389,PGC,565,1.07,14.20
1.821667,27.679444,PGC,567,1.05,14.96
1.830833,32.609722,PGC,569,1.74,
1.852083,47.041111,PGC,574,1.58,
1.879583,-20.731667,PGC,583,1.07,
1.875000,-11.833333,PGC,585,1.32,
1.916667,25.588611,PGC,590,0.00,
1.953750,35.362500,PGC,595,1.20,
1.961667,35.966389,PGC,598,0.87,
2.006250,33.070000,PGC,608,0.85,14.40
2.025000,9.716667,PGC,613,1.35,
2.025000,7.766667,PGC,616,1.26,
2.042083,27.003611,PGC,617,0.93,
2.025000,27.516667,PGC,619,1.17,
2.055833,-34.578333,PGC,621,1.10,
2.076250,-59.515000,PGC,624,2.19,
2.085833,-29.915000,PGC,627,2.24,14.40
2.143333,-33.858333,PGC,634,2.40,13.30
2.143333,-10.949444,PGC,635,1.17,
2.149167,-5.217500,PGC,637,1.23,
2.150000,44.096389,PGC,638,1.10,
2.150000,-0.733333,PGC,639,0.98,
2.176667,37.450556,PGC,642,1.48,
2.186667,24.542778,PGC,644,1.10,
2.187083,4.612778,PGC,645,1.70,13.80
2.193333,15.815000,PGC,647,2.82,12.71
2.200417,33.433889,PGC,650,2.45,
2.205000,-49.901667,PGC,651,0.68,
2.228750,23.818056,PGC,652,1.26,
2.225000,25.616667,PGC,654,1.58,
2.250000,10.883333,PGC,658,1.41,
2.267917,-32.915000,PGC,659,1.48,
2.269583,27.730278,PGC,660,1.78,13.00
2.250000,21.616667,PGC,661,1.00,
2.279167,-37.355000,PGC,662,0.98,
2.325000,0.600000,PGC,670,1.00,
2.354167,-36.718333,PGC,671,0.95,
2.371250,47.357222,PGC,676,1.23,
2.387083,33.309444,PGC,679,1.55,
2.401250,-32.276667,PGC,684,1.78,
2.425000,28.350000,PGC,687,1.10,
2.448333,27.829722,PGC,690,1.66,
2.464583,26.790000,PGC,693,0.00,
2.465000,-64.371667,PGC,695,1.62,
2.450000,4.683333,PGC,696,1.10,
2.473333,25.923056,PGC,698,2.09,12.85
2.485833,-24.961944,PGC,701,5.75,12.19
2.475000,16.933333,PGC,703,1.00,
2.499583,-57.020000,PGC,706,1.38,13.00
2.507083,28.209444,PGC,707,1.05,
2.513750,28.150278,PGC,709,1.10,
2.528750,-6.321944,PGC,714,1.48,
2.574583,-18.265000,PGC,721,1.41,
2.583333,-46.418611,PGC,725,2.04,
2.593333,30.849167,PGC,726,2.09,
2.604167,-46.491667,PGC,729,1.26,
2.609583,28.989167,PGC,731,1.91,
2.610000,25.832500,PGC,732,1.95,
2.629167,10.974722,PGC,737,0.00,
2.637500,28.997222,PGC,742,1.23,
2.625000,28.666667,PGC,748,1.07,
2.660833,-56.985000,PGC,751,1.07,
2.665000,-56.801944,PGC,753,1.05,
2.650000,13.716667,PGC,757,2.51,
2.672917,32.983056,PGC,759,1.17,
2.681250,28.564167,PGC,762,0.55,
2.686667,-47.075000,PGC,764,1.82,13.92
2.696250,33.351389,PGC,767,1.70,
2.700000,25.550000,PGC,772,1.20,
2.727917,-21.068611,PGC,774,1.15,15.10
2.740833,-35.210278,PGC,775,0.87,
2.756250,30.055833,PGC,779,1.48,
2.777917,-12.107500,PGC,781,2.19,
2.797500,29.085278,PGC,786,0.00,
2.803750,-33.580278,PGC,789,1.45,
2.812917,28.903889,PGC,791,1.29,
2.800000,2.666667,PGC,793,0.62,
2.838333,-28.855278,PGC,796,1.41,14.10
2.843750,6.389722,PGC,798,2.19,
2.850833,-41.396944,PGC,800,1.86,
2.850833,-56.956944,PGC,801,1.10,
2.906250,-36.938611,PGC,809,1.58,
2.907917,27.948333,PGC,810,1.00,
2.928750,20.974444,PGC,814,0.42,
2.939583,28.500278,PGC,816,0.89,
2.946250,-5.586944,PGC,818,1.35,
2.950000,-1.083333,PGC,825,0.78,
2.981667,23.024444,PGC,828,0.00,
2.975000,26.383333,PGC,830,1.17,
3.018333,-47.295278,PGC,831,1.12,
3.024167,24.987222,PGC,832,0.00,
3.033333,12.044722,PGC,833,1.17,
3.038333,27.911111,PGC,835,0.74,
3.040833,29.319444,PGC,837,0.42,
3.050000,41.733333,PGC,841,1.82,
3.065833,22.321944,PGC,847,1.15,
3.080417,31.062222,PGC,852,1.15,
3.153750,5.503889,PGC,859,0.91,
3.200417,22.023889,PGC,865,0.85,
3.200000,22.100000,PGC,867,1.07,
3.228750,33.359444,PGC,869,1.45,
3.252500,39.246667,PGC,874,1.12,
3.254167,30.915833,PGC,875,1.62,
3.262500,14.410833,PGC,878,1.00,
3.263750,-24.215278,PGC,879,1.12,
3.315417,-49.341944,PGC,887,0.89,
3.300000,17.016667,PGC,889,2.24,
3.334167,-37.513611,PGC,892,1.55,
3.350000,28.366667,PGC,896,1.00,
3.363750,17.485000,PGC,897,1.05,
3.392917,-5.093611,PGC,902,1.20,
3.431250,30.194722,PGC,908,0.87,
3.439167,48.151111,PGC,910,1.05,
3.450000,26.966667,PGC,912,1.41,
3.450000,35.983333,PGC,913,2.09,
3.450000,-4.466667,PGC,916,1.20,
3.450000,3.700000,PGC,917,0.93,
3.482500,28.762778,PGC,919,0.83,
3.487083,30.882778,PGC,921,0.41,
3.475000,12.966667,PGC,924,1.58,
3.497917,-70.021944,PGC,926,1.74,
3.509167,48.235000,PGC,929,1.41,
3.513333,-23.183611,PGC,930,8.51,11.32
3.525000,7.416667,PGC,937,1.10,
3.593750,48.246389,PGC,952,1.12,
3.618333,48.670556,PGC,962,1.20,
3.620417,-0.745278,PGC,963,2.14,
3.629167,-7.168333,PGC,967,2.24,
3.625000,28.433333,PGC,970,1.10,
3.645417,48.256111,PGC,974,1.26,
3.650000,18.566667,PGC,978,2.14,
3.665000,-39.615278,PGC,979,0.71,
3.670000,-37.655278,PGC,981,1.12,
3.674583,-60.328889,PGC,982,2.00,13.33
3.686250,-7.345556,PGC,983,2.29,
3.675000,5.216667,PGC,986,1.17,
3.729167,-24.090278,PGC,991,0.74,
3.731250,-86.993889,PGC,993,1.29,
3.731250,26.330556,PGC,994,0.66,
3.775000,-35.143889,PGC,1009,0.62,
3.782083,-7.107222,PGC,1011,1.26,
3.785417,-39.220278,PGC,1014,32.36,8.42
3.800000,5.883333,PGC,1021,1.10,
3.822500,-57.243889,PGC,1024,1.26,
3.825000,-8.166667,PGC,1027,1.32,
3.855000,-21.443889,PGC,1034,2.63,13.12
3.879167,17.326667,PGC,1037,2.24,12.67
3.880000,-32.182222,PGC,1038,1.32,
3.921667,25.113889,PGC,1042,0.00,
3.925000,27.433333,PGC,1044,1.26,
3.925000,29.650000,PGC,1046,1.62,
3.933750,-33.030556,PGC,1047,0.93,
3.963750,16.090278,PGC,1051,1.29,
3.969167,19.774444,PGC,1052,0.52,
3.985833,14.072222,PGC,1056,1.32,
3.993333,-0.304167,PGC,1058,1.29,
4.056667,10.332500,PGC,1074,1.20,
4.101250,-6.318333,PGC,1083,1.10,
4.126667,29.920278,PGC,1089,1.51,
4.150000,47.933333,PGC,1099,1.10,
4.175000,2.450000,PGC,1105,1.10,
4.175000,7.050000,PGC,1106,1.48,
4.175000,12.333333,PGC,1107,2.51,
4.212500,29.614444,PGC,1108,0.00,
4.212500,-5.268611,PGC,1109,1.38,
4.225000,27.850000,PGC,1113,0.95,
4.260833,29.940833,PGC,1119,0.00,
4.270833,42.161111,PGC,1123,1.58,
4.250000,17.516667,PGC,1124,1.29,
4.272917,-13.486667,PGC,1125,1.05,
4.273750,-6.374167,PGC,1126,1.17,
4.276250,-4.610833,PGC,1127,1.35,
4.275000,34.466667,PGC,1128,1.26,
4.290000,23.751944,PGC,1129,0.00,
4.292500,-19.300556,PGC,1130,1.66,
4.275000,6.716667,PGC,1131,1.00,
4.320833,30.213611,PGC,1138,0.55,
4.330417,6.723333,PGC,1139,0.95,
4.350000,18.083333,PGC,1144,1.48,
4.373333,26.260833,PGC,1147,0.00,
4.376667,-6.825556,PGC,1149,1.55,
4.400000,22.483333,PGC,1153,0.00,
4.400417,30.205278,PGC,1154,1.86,
4.425000,24.666667,PGC,1158,1.00,
4.440000,11.449444,PGC,1160,1.74,
4.452083,-68.358889,PGC,1162,1.17,
4.480833,-47.928889,PGC,1166,0.89,
4.499583,24.561667,PGC,1170,0.87,
4.506667,-59.085556,PGC,1172,1.66,
4.518750,-33.874167,PGC,1173,1.45,
4.500000,18.283333,PGC,1175,1.15,
4.525000,-37.710556,PGC,1176,1.23,
4.562500,30.062500,PGC,1185,1.05,
4.550000,19.383333,PGC,1186,1.00,
4.576250,30.071944,PGC,1187,2.04,
4.585833,30.039444,PGC,1191,0.89,15.80
4.587917,-73.152222,PGC,1193,1.12,
4.593750,30.080556,PGC,1194,1.41,
4.575000,17.833333,PGC,1195,0.91,
4.598750,30.062778,PGC,1197,1.23,14.20
4.599167,48.730556,PGC,1198,1.12,
4.600000,49.983333,PGC,1202,1.41,
4.618750,30.040000,PGC,1204,1.10,14.50
4.643333,30.035833,PGC,1208,0.33,15.70
4.662917,-15.322222,PGC,1211,1.62,
4.700000,-19.007500,PGC,1218,1.48,14.83
4.708750,-10.361111,PGC,1221,1.12,13.60
4.711667,-8.459722,PGC,1223,1.17,
4.712083,-10.377222,PGC,1224,1.10,14.81
4.783333,-57.643333,PGC,1225,2.24,15.36
4.750000,23.466667,PGC,1231,1.17,
4.769167,-22.937500,PGC,1236,1.17,
4.750000,15.733333,PGC,1237,1.10,
4.775000,19.383333,PGC,1238,1.10,
4.789167,-24.522500,PGC,1241,1.05,
4.799167,-22.670556,PGC,1242,1.51,
4.825000,6.433333,PGC,1255,1.45,
4.895833,47.241389,PGC,1264,1.58,
4.875000,13.183333,PGC,1265,0.91,
4.907500,29.935278,PGC,1267,1.00,
4.917083,-51.267500,PGC,1270,1.55,
4.950417,-34.472500,PGC,1275,1.35,
4.950000,23.766667,PGC,1276,0.95,
4.993750,-77.090833,PGC,1284,1.48,
4.975000,9.133333,PGC,1285,1.00,
5.000000,19.983333,PGC,1286,1.26,
5.000417,-6.335278,PGC,1288,1.51,
5.000000,10.866667,PGC,1292,1.62,13.87
5.000000,15.100000,PGC,1293,1.10,
5.025000,-54.524167,PGC,1295,1.10,14.79
5.084583,7.701111,PGC,1301,1.45,
5.095417,-14.035278,PGC,1303,1.29,
5.102500,59.291667,PGC,1305,6.31,11.81
