# Lynds' Catalogue of Dark Nebulae (Lynds 1962)
# Source: VizieR catalog VII/7A — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/7A
# Coordinates are ICRS (J2000). size is the diameter of the equivalent circle in arcminutes,
# derived from the catalogue Area (sq deg): 2*sqrt(Area/pi)*60.
ra,dec,catalog,catalog_id,size
248.821667,-12.268889,LDN,145,25.78
254.092083,-15.994722,LDN,146,17.39
271.027500,-26.163611,LDN,147,14.68
251.607083,-14.172778,LDN,148,7.42
261.745417,-20.875000,LDN,149,48.73
269.270417,-25.005556,LDN,150,249.22
271.527500,-26.161111,LDN,151,42.71
252.459583,-14.585556,LDN,152,69.04
265.006250,-22.609444,LDN,153,48.40
265.507500,-22.856944,LDN,154,47.73
264.504167,-22.278611,LDN,155,85.91
249.322083,-12.266667,LDN,156,24.13
272.279167,-26.407500,LDN,157,6.06
251.956667,-14.087778,LDN,158,16.02
267.137500,-23.682500,LDN,159,18.04
266.259583,-23.186667,LDN,160,15.73
267.764583,-24.012778,LDN,161,23.16
252.282917,-14.253056,LDN,162,23.84
252.458333,-14.335556,LDN,163,12.11
264.251667,-21.863056,LDN,164,16.99
274.032083,-26.982222,LDN,165,15.73
270.521667,-25.166111,LDN,166,6.06
271.524583,-25.661111,LDN,167,25.69
263.247083,-21.034444,LDN,168,69.37
238.154167,-3.315000,LDN,169,62.78
266.758750,-23.017500,LDN,170,46.86
270.771667,-25.164722,LDN,171,38.06
264.500417,-21.611944,LDN,172,10.92
259.306250,-18.386667,LDN,173,9.57
264.750833,-21.693889,LDN,174,9.57
259.582083,-18.518889,LDN,175,8.56
272.525417,-25.823056,LDN,176,37.57
260.736250,-19.213333,LDN,177,12.48
262.994167,-20.535833,LDN,178,55.50
260.986667,-19.295278,LDN,179,14.68
270.769167,-24.748056,LDN,180,112.48
277.788333,-28.080833,LDN,181,6.06
263.244167,-20.534444,LDN,182,71.33
238.478333,-3.146944,LDN,183,33.17
262.992917,-20.285833,LDN,185,22.25
266.002917,-22.021111,LDN,186,37.08
273.025000,-25.737222,LDN,187,56.40
