# van den Bergh's Catalogue of Reflection Nebulae (van den Bergh 1966)
# Source: VizieR catalog VII/21 — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/21
# Coordinates are ICRS (J2000). size = 2 * max(BRadMax, RRadMax) in arcminutes.
# magnitude is the V magnitude of the illuminating star.
ra,dec,catalog,catalog_id,size,magnitude
277.857060,-10.795840,VdB,124,36.00,5.50
291.503660,15.556850,VdB,125,1.20,8.00
291.547150,22.757290,VdB,126,8.00,8.30
296.846940,18.534310,VdB,127,66.00,3.82
301.150730,32.218600,VdB,128,8.00,5.63
302.826190,-0.821460,VdB,129,96.00,3.24
304.425810,39.349550,VdB,130,1.20,9.50
306.065480,42.300380,VdB,131,5.60,9.10
306.194300,42.384800,VdB,132,5.60,8.70
307.746790,36.935840,VdB,133,11.40,6.19
307.514750,48.951570,VdB,134,22.00,4.95
309.189940,32.454610,VdB,135,2.80,8.60
309.571550,42.073680,VdB,136,8.60,7.80
313.957520,47.417660,VdB,137,13.60,5.69
314.319100,48.295770,VdB,138,7.40,8.28
315.403840,68.163270,VdB,139,17.00,6.80
319.328290,58.611480,VdB,140,20.00,6.41
319.109700,68.260150,VdB,141,8.40,9.40
324.170990,57.502290,VdB,142,1.20,8.80
324.237730,68.185360,VdB,143,9.60,8.30
325.180450,54.872160,VdB,144,3.40,6.00
325.904860,48.883760,VdB,145,8.60,7.40
325.709080,66.109770,VdB,146,9.00,9.40
328.142080,47.228780,VdB,147,1.80,9.50
331.820820,56.234020,VdB,148,3.40,8.70
332.285360,72.884720,VdB,149,5.20,9.10
332.417190,73.390900,VdB,150,11.40,8.40
333.469700,39.714920,VdB,151,10.80,4.49
333.352200,70.251410,VdB,152,13.60,8.80
335.801090,62.699970,VdB,153,2.80,9.40
337.806570,65.466240,VdB,154,10.20,8.90
343.315020,62.145830,VdB,155,6.20,9.29
345.480270,42.325980,VdB,156,188.00,3.62
345.565550,72.730400,VdB,157,4.60,7.80
354.464990,48.496570,VdB,158,3.40,9.00
