# Catalogue of HII Regions (Sharpless 1959)
# Source: VizieR catalog VII/20 — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/20
# Coordinates converted from B1950 to ICRS. size is the object diameter in arcminutes.
ra,dec,catalog,catalog_id,size
341.217422,59.892216,Sh2,144,4.00
336.390192,64.308529,Sh2,145,90.00
342.359812,59.929081,Sh2,146,2.00
343.873798,58.466753,Sh2,147,2.00
344.050944,58.517240,Sh2,148,2.00
344.101536,58.534045,Sh2,149,1.00
337.799824,65.113930,Sh2,150,40.00
345.764005,57.071671,Sh2,151,20.00
344.657458,58.785538,Sh2,152,2.00
344.810248,58.735938,Sh2,153,5.00
342.852661,61.180560,Sh2,154,60.00
344.182480,62.617658,Sh2,155,60.00
346.294020,60.256316,Sh2,156,2.00
349.014901,60.045490,Sh2,157,90.00
348.417996,61.510990,Sh2,158,10.00
348.929817,61.145334,Sh2,159,7.00
346.448749,64.673400,Sh2,160,80.00
348.872826,61.861895,Sh2,161,55.00
350.175585,61.197622,Sh2,162,40.00
353.331715,60.785610,Sh2,163,10.00
354.606585,59.970357,Sh2,164,3.00
354.954525,61.937365,Sh2,165,10.00
355.543523,60.971226,Sh2,166,10.00
353.843671,64.852886,Sh2,167,2.00
358.265954,60.472920,Sh2,168,7.00
358.494947,60.373006,Sh2,169,5.00
0.426601,64.623381,Sh2,170,20.00
1.167750,67.156694,Sh2,171,180.00
3.887216,61.255843,Sh2,172,1.00
5.466235,61.738115,Sh2,173,30.00
356.705257,80.938805,Sh2,174,10.00
6.830057,64.703537,Sh2,175,2.00
7.913643,57.285644,Sh2,176,10.00
7.887837,62.469018,Sh2,177,40.00
334.734906,87.761542,Sh2,178,420.00
10.105816,62.865945,Sh2,179,1.00
12.194542,62.928978,Sh2,180,15.00
12.319458,65.212092,Sh2,181,15.00
12.569458,64.744934,Sh2,182,2.00
13.499185,65.709711,Sh2,183,35.00
13.211533,56.610236,Sh2,184,40.00
15.000057,60.989621,Sh2,185,120.00
17.212945,63.134016,Sh2,186,1.00
20.782376,61.856592,Sh2,187,10.00
22.663949,58.366704,Sh2,188,9.00
33.035580,64.171649,Sh2,189,2.00
38.346437,61.442281,Sh2,190,150.00
39.163842,59.637315,Sh2,191,2.00
41.809044,61.987918,Sh2,192,1.00
41.885548,62.004102,Sh2,193,2.00
41.832957,61.937762,Sh2,194,2.00
40.025161,59.648788,Sh2,195,3.00
42.829988,62.231433,Sh2,196,4.00
40.480891,59.646000,Sh2,197,5.00
42.507561,59.699951,Sh2,198,9.00
43.639829,60.409345,Sh2,199,120.00
47.687746,62.815455,Sh2,200,6.00
45.793169,60.478308,Sh2,201,5.00
49.714690,59.633963,Sh2,202,170.00
50.504247,54.877756,Sh2,203,45.00
58.940173,57.428910,Sh2,204,40.00
59.033981,53.194368,Sh2,205,120.00
60.804444,51.329505,Sh2,206,50.00
65.020648,53.143637,Sh2,207,4.00
64.941212,52.977646,Sh2,208,1.00
62.762504,51.162925,Sh2,209,14.00
67.746185,52.552894,Sh2,210,20.00
69.240802,50.939338,Sh2,211,2.00
70.157310,50.381000,Sh2,212,5.00
65.179006,44.924862,Sh2,213,1.00
65.395417,44.372928,Sh2,214,4.00
64.387288,42.614923,Sh2,215,2.00
71.237610,46.820836,Sh2,216,80.00
74.697950,48.005685,Sh2,217,9.00
