# Barnard Catalogue of 349 Dark Objects in the Sky (Barnard 1927)
# Source: VizieR catalog VII/220A — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/220A
# Coordinates are ICRS (J2000), converted from the original B1875 positions.
# size is the object diameter in arcminutes (0 = not recorded).
ra,dec,catalog,catalog_id,size
286.885417,-3.924167,Barnard,135,13.00
287.207083,-4.003611,Barnard,136,8.00
289.000833,-1.332778,Barnard,137,0.00
289.099583,0.218611,Barnard,138,180.00
289.501667,-1.410278,Barnard,139,0.00
289.954583,5.228611,Barnard,140,60.00
290.047083,1.896389,Barnard,141,20.00
294.922083,10.518333,Barnard,142,40.00
295.354583,11.006667,Barnard,143,30.00
299.672500,35.338333,Barnard,144,270.00
300.705417,37.682778,Barnard,145,45.00
300.870833,36.017778,Barnard,146,0.00
301.709583,35.376389,Barnard,147,11.00
311.928750,59.628611,Barnard,148,3.00
312.257500,59.531389,Barnard,149,2.00
312.665417,60.301944,Barnard,150,60.00
317.056667,56.322500,Barnard,151,60.00
318.622917,61.735833,Barnard,152,9.00
320.263750,56.448333,Barnard,153,60.00
320.343750,56.615556,Barnard,154,8.00
323.035417,44.968611,Barnard,155,13.00
323.497500,45.588611,Barnard,156,8.00
323.422917,54.671944,Barnard,157,5.00
324.306667,43.410833,Barnard,158,3.00
324.595000,43.229722,Barnard,159,25.00
324.495417,56.229722,Barnard,160,31.00
325.092500,57.817500,Barnard,161,3.00
325.288333,56.318611,Barnard,162,13.00
325.541667,56.703889,Barnard,163,0.00
326.632917,51.094167,Barnard,164,20.00
327.233750,60.215556,Barnard,165,18.00
327.771667,60.085833,Barnard,166,5.00
327.992500,60.070556,Barnard,167,5.00
328.336250,47.271944,Barnard,168,10.00
329.720417,58.764722,Barnard,169,60.00
329.512083,58.963333,Barnard,170,15.00
330.328333,58.868333,Barnard,171,91.00
331.870417,59.677500,Barnard,173,4.00
331.832917,59.077222,Barnard,174,19.00
333.503750,69.937500,Barnard,175,60.00
33.250417,57.089167,Barnard,201,10.00
51.411250,30.276389,Barnard,202,22.00
51.459583,30.776111,Barnard,203,0.00
52.121667,30.186389,Barnard,204,14.00
52.133333,31.103056,Barnard,205,15.00
52.289167,30.185000,Barnard,206,5.00
61.147500,26.345833,Barnard,207,0.00
62.887083,25.160833,Barnard,208,0.00
63.096667,28.325278,Barnard,209,0.00
63.888750,25.066667,Barnard,210,0.00
64.301667,27.812222,Barnard,211,0.00
64.810833,25.306667,Barnard,212,0.00
65.294167,27.051389,Barnard,213,0.00
65.482083,28.549444,Barnard,214,5.00
65.893333,25.044722,Barnard,215,0.00
65.998333,26.626944,Barnard,216,0.00
66.910417,26.116944,Barnard,217,0.00
67.037917,26.282222,Barnard,218,15.00
68.714583,29.597222,Barnard,219,120.00
70.375000,25.994722,Barnard,220,7.00
71.003333,31.738056,Barnard,221,45.00
77.099167,32.167500,Barnard,222,10.00
80.366667,8.326667,Barnard,223,8.00
80.978750,10.619444,Barnard,224,20.00
82.241250,11.604444,Barnard,225,0.00
84.144167,33.700000,Barnard,226,17.00
91.849583,19.655556,Barnard,227,12.00
236.241250,-34.513611,Barnard,228,240.00
244.420417,-27.311111,Barnard,229,45.00
246.790833,-16.784167,Barnard,230,60.00
249.601250,-35.421111,Barnard,231,30.00
250.935417,-39.823056,Barnard,232,10.00
251.189167,-35.403056,Barnard,233,37.00
251.610833,-30.481111,Barnard,234,18.00
251.776667,-44.480556,Barnard,235,7.00
252.226667,-29.807222,Barnard,236,0.00
252.229167,-29.973889,Barnard,237,37.00
253.090833,-23.130000,Barnard,238,13.00
253.750833,-31.123056,Barnard,239,15.00
254.823750,-35.361111,Barnard,240,20.00
254.863333,-30.193333,Barnard,241,12.00
256.277083,-32.427222,Barnard,242,19.00
257.442083,-29.579722,Barnard,243,25.00
257.716250,-28.409722,Barnard,244,25.00
257.982083,-29.406667,Barnard,245,8.00
258.007917,-22.655833,Barnard,246,15.00
258.279167,-30.253333,Barnard,247,4.00
258.267500,-28.986667,Barnard,248,10.00
258.270000,-29.153333,Barnard,249,13.00
258.258750,-28.403333,Barnard,250,15.00
258.453333,-20.150278,Barnard,251,13.00
258.827500,-32.146944,Barnard,252,20.00
258.882917,-22.562222,Barnard,253,60.00
260.121667,-30.131389,Barnard,254,40.00
260.146667,-23.463889,Barnard,255,5.00
260.551667,-28.826111,Barnard,256,50.00
260.694583,-35.625000,Barnard,257,15.00
260.741250,-34.724444,Barnard,258,40.00
260.506250,-19.292500,Barnard,259,30.00
261.204167,-25.618056,Barnard,260,10.00
261.266667,-23.033611,Barnard,261,10.00
261.386250,-22.615556,Barnard,262,30.00
261.735417,-42.780278,Barnard,263,30.00
261.803333,-25.527500,Barnard,264,10.00
261.902500,-25.193056,Barnard,265,12.00
262.030000,-20.941111,Barnard,266,30.00
262.132500,-25.223611,Barnard,267,4.00
262.858333,-20.514444,Barnard,268,75.00
263.056250,-22.762222,Barnard,269,60.00
263.179167,-19.593889,Barnard,270,11.00
263.570417,-34.257222,Barnard,271,120.00
264.400000,-23.412778,Barnard,272,45.00
264.622083,-33.344444,Barnard,273,15.00
264.515000,-22.728056,Barnard,274,18.00
264.746667,-32.326111,Barnard,275,13.00
264.912500,-19.822778,Barnard,276,45.00
265.187083,-23.070000,Barnard,277,18.00
265.663750,-32.315000,Barnard,278,15.00
266.138750,-22.558333,Barnard,279,60.00
266.237917,-20.723611,Barnard,280,60.00
266.697083,-23.718333,Barnard,281,0.00
267.152083,-23.462778,Barnard,282,18.00
